DEBUG 2025-07-15 09:36:09,688 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\grpc\experimental\__init__.py first seen with mtime 1751607510.0514524
DEBUG 2025-07-15 09:36:09,689 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\IPython\core\getipython.py first seen with mtime 1751957316.8982847
DEBUG 2025-07-15 09:36:09,690 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\packaging\__init__.py first seen with mtime 1751607610.7687292
DEBUG 2025-07-15 09:36:09,691 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\requests\hooks.py first seen with mtime 1751607515.6398432
DEBUG 2025-07-15 09:36:09,693 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\nltk\tokenize\util.py first seen with mtime 1751612444.9353843
DEBUG 2025-07-15 09:36:09,696 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1751606548.534535
DEBUG 2025-07-15 09:36:09,699 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\jinja2\_identifier.py first seen with mtime 1751615521.1334732
DEBUG 2025-07-15 09:36:09,700 autoreload File C:\Program Files\Python312\Lib\http\client.py first seen with mtime 1717728852.0
DEBUG 2025-07-15 09:36:09,702 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\packaging\_manylinux.py first seen with mtime 1751607610.7687292
DEBUG 2025-07-15 09:36:09,703 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\psycopg\types\net.py first seen with mtime 1751610612.7391522
DEBUG 2025-07-15 09:36:09,704 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1751606558.4864473
DEBUG 2025-07-15 09:36:09,705 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\langchain_text_splitters\spacy.py first seen with mtime 1751607692.2337587
DEBUG 2025-07-15 09:36:09,706 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\click\globals.py first seen with mtime 1751612444.0013826
DEBUG 2025-07-15 09:36:09,710 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\urllib3\filepost.py first seen with mtime 1751607505.5858047
DEBUG 2025-07-15 09:36:09,716 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\srsly\msgpack\ext.py first seen with mtime 1751615513.5987892
DEBUG 2025-07-15 09:36:09,718 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\thinc\layers\reduce_sum.py first seen with mtime 1751615524.5460234
DEBUG 2025-07-15 09:36:09,723 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\permission_service\__init__.py first seen with mtime 1752198755.96681
DEBUG 2025-07-15 09:36:09,726 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\propcache\_helpers.py first seen with mtime 1751607667.0465071
DEBUG 2025-07-15 09:36:09,727 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\numpy\linalg\_linalg.py first seen with mtime 1751607667.6097422
DEBUG 2025-07-15 09:36:09,728 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\spacy\lang\en\__init__.py first seen with mtime 1751615529.020149
DEBUG 2025-07-15 09:36:09,729 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\sqlalchemy\event\registry.py first seen with mtime 1751607682.413825
DEBUG 2025-07-15 09:36:09,729 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\httpcore\_sync\connection_pool.py first seen with mtime 1751607612.4846106
DEBUG 2025-07-15 09:36:09,730 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\jinja2\utils.py first seen with mtime 1751615521.1652062
DEBUG 2025-07-15 09:36:09,731 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\IPython\lib\display.py first seen with mtime 1751957317.0006037
DEBUG 2025-07-15 09:36:09,732 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1751606558.218668
DEBUG 2025-07-15 09:36:09,733 autoreload File C:\Program Files\Python312\Lib\netrc.py first seen with mtime 1717728852.0
DEBUG 2025-07-15 09:36:09,734 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\h2\__init__.py first seen with mtime 1751615905.963221
DEBUG 2025-07-15 09:36:09,734 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\pydantic\version.py first seen with mtime 1751607516.0842266
DEBUG 2025-07-15 09:36:09,735 autoreload File C:\Users\Pro\Desktop\Ayodele\25062025\venv\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1751607512.0639746
